Name,Age,City,Salary,Score
ZSEAT,50,Delhi,81805,4.4
OBFUT,31,Hyderabad,52576,5.67
WTZAZ,36,Delhi,22940,7.07
DZEZC,34,Mumbai,31108,2.11
VOBXG,50,Bangalore,110228,2.59
MIGGC,42,Mumbai,89776,8.0
EQLIO,31,Pune,45278,8.19
JNQRN,42,Mumbai,55258,5.6
OTDDO,47,Mumbai,79321,7.47
GXINZ,23,Hyderabad,87317,8.13
PGPCJ,56,Bangalore,43998,9.77
GUVNX,52,Mumbai,91122,4.35
EEHQP,19,Hyderabad,98563,2.7
ZRWIJ,31,Bangalore,109543,5.75
UQCDQ,29,Delhi,35301,3.7
DKUEH,58,Delhi,47170,4.78
BCGNX,26,Bangalore,75647,6.12
RKYPZ,46,Pune,62126,2.57
OYAER,31,Pune,102936,6.8
YAXPH,38,Bangalore,43683,4.75
CNDYC,33,Hyderabad,34151,2.82
QQZZJ,60,Delhi,71329,2.13
BMBMB,41,Mumbai,27980,9.49
ZKEMR,40,Hyderabad,22026,4.4
TFTIU,41,Mumbai,83499,2.84
LXYQK,26,Pune,22455,1.43
VXHXK,22,Delhi,85768,1.43
CXANE,51,Pune,37350,4.42
HBPYS,27,Bangalore,82611,5.64
JPPAR,35,Hyderabad,53810,5.32
KQBBW,55,Mumbai,80970,1.53
NMAZT,36,Mumbai,85202,8.07
XPGXP,46,Mumbai,22200,9.26
UKNUS,60,Hyderabad,55706,7.85
VPPPF,37,Pune,50137,6.17
PHKBW,56,Hyderabad,37883,8.71
XHWFL,53,Bangalore,93112,8.93
PLMKO,44,Pune,80636,3.1
ARTCT,44,Pune,59004,3.25
WGYRK,29,Hyderabad,102966,4.95
SRALR,34,Delhi,71016,2.99
ZCUTW,50,Mumbai,37909,7.75
ZYTAE,30,Mumbai,83886,3.78
BZPTS,39,Bangalore,110980,7.95
GLIIJ,48,Bangalore,118748,5.03
PWMVK,36,Delhi,70863,8.23
CFUCA,25,Pune,53885,2.5
THQAY,18,Mumbai,25466,7.63
FOUZL,55,Delhi,114930,1.54
WODSJ,47,Hyderabad,87882,7.31
NCZDQ,21,Hyderabad,57182,1.78
NLZMW,27,Delhi,99357,2.38
NUMGY,40,Bangalore,23375,1.03
STRRI,21,Bangalore,36531,8.25
UYASK,39,Delhi,86153,6.4
LOPIB,21,Pune,65672,7.84
SIWZM,49,Delhi,42350,5.11
QINAI,42,Pune,80119,7.02
IABWX,50,Pune,118637,4.29
ZIYSA,50,Hyderabad,33743,1.99
YQVHO,55,Mumbai,83121,1.9
AQNQY,39,Bangalore,25157,7.4
KSQOD,22,Hyderabad,102282,2.43
NRLGT,47,Mumbai,63172,9.37
FRPUW,18,Bangalore,85191,4.44
UTWJZ,41,Delhi,65616,9.44
WLXTP,40,Mumbai,107733,8.57
VMMZV,42,Pune,34513,6.14
TNJTA,51,Delhi,100786,2.61
JWSXI,42,Pune,46088,7.86
AYVEY,35,Bangalore,82589,7.83
BBBQD,45,Delhi,59727,1.13
IFELY,32,Bangalore,36186,4.2
KOIQP,51,Hyderabad,65203,4.91
KZKSJ,28,Mumbai,103521,7.8
SVRBV,31,Bangalore,81275,5.76
OSHYG,46,Mumbai,107786,8.0
PVNPF,43,Bangalore,115796,4.78
BCVFP,46,Pune,29058,3.08
ENHFX,26,Bangalore,74443,4.74
GHXGP,48,Delhi,109538,5.43
ISCLS,39,Bangalore,46221,4.16
DOFYS,39,Bangalore,50473,9.33
CLKXI,42,Bangalore,49545,6.91
KBGNJ,37,Hyderabad,61556,2.21
AXEHE,24,Pune,112980,4.91
SXOMT,18,Bangalore,103874,9.92
ZTGXR,48,Bangalore,91526,5.79
NSWPR,38,Bangalore,35250,3.54
ACNDX,34,Delhi,46365,5.4
QPNRY,39,Mumbai,66334,4.02
MQVML,45,Pune,39880,6.94
TCWJQ,32,Delhi,24950,7.3
MMDDU,48,Bangalore,112671,6.89
HLMOV,26,Delhi,82786,6.64
XXCGS,29,Hyderabad,93197,8.96
ADIWC,23,Delhi,95897,1.5
XIGEI,31,Mumbai,74876,9.49
HSQLV,58,Pune,114657,3.71
RTAJI,27,Bangalore,75542,2.44
VROVN,21,Hyderabad,20686,9.41
GISZD,23,Mumbai,119544,8.5
VKOWF,26,Bangalore,83458,8.46
RLXOC,46,Delhi,80583,3.76
NULMM,58,Pune,67464,8.46
KPPEQ,55,Hyderabad,73478,1.85
EWLOK,36,Mumbai,60709,8.64
LXKKS,20,Pune,25136,3.29
EIEFH,25,Bangalore,44091,6.7
XEDQR,30,Mumbai,114456,3.11
JCBHU,18,Delhi,40314,8.64
TGVZD,37,Bangalore,56379,3.7
ZNSCM,51,Pune,88610,3.88
UXPYE,39,Mumbai,42956,1.75
AIIGH,39,Hyderabad,117875,5.2
CCUFB,30,Mumbai,106725,5.71
KURVI,35,Mumbai,109708,4.57
AMZSX,26,Mumbai,94692,7.92
ITDOP,58,Mumbai,42300,2.41
SHBXP,46,Bangalore,76807,5.45
OMGIL,27,Bangalore,78723,1.51
QMQEG,51,Hyderabad,43800,7.19
IOLWW,49,Delhi,53741,6.75
ZVRRU,48,Hyderabad,109779,1.03
FAZRW,29,Hyderabad,118677,8.36
RYIHU,21,Bangalore,82273,8.69
FFUUN,55,Mumbai,97460,4.44
IFGSL,22,Mumbai,69417,4.88
VTXYQ,46,Delhi,22306,9.02
CJYWY,53,Delhi,95893,1.36
ADIDJ,58,Hyderabad,101491,3.85
TYNZM,38,Delhi,87719,4.17
VEQUQ,34,Pune,41015,8.61
NZKWD,58,Delhi,56576,3.23
WSKUR,53,Pune,25667,7.19
QGZPQ,23,Mumbai,91757,6.65
XTSJH,38,Pune,26999,9.11
CQYMX,59,Mumbai,47671,2.41
TIRDG,58,Delhi,53734,7.41
MRYSM,56,Mumbai,50239,1.64
TQIKU,53,Bangalore,21177,9.85
TMZTZ,40,Mumbai,68681,8.31
WVRIV,31,Delhi,65936,4.09
FMZOW,31,Mumbai,45757,6.82
ZFKPC,27,Delhi,93849,9.25
KQOII,57,Pune,31582,8.01
GWFDO,33,Pune,47759,3.1
OCUSR,49,Bangalore,88814,6.63
SECWA,38,Hyderabad,46779,7.69
RRVZT,31,Bangalore,29563,1.21
AFBKC,60,Mumbai,68793,8.36
QLRHU,30,Delhi,24917,4.49
XPMHF,58,Mumbai,111209,9.43
KZMJL,25,Delhi,111155,9.24
VWAKR,27,Delhi,46748,6.31
YAJGJ,53,Delhi,53796,8.44
MIVIX,27,Delhi,48197,9.37
CUARC,20,Mumbai,119307,7.12
DJNMI,31,Hyderabad,76194,2.52
CNTWO,18,Delhi,82012,2.72
BUNZS,49,Hyderabad,101570,9.82
AHTCT,59,Mumbai,112293,9.38
OCXFZ,20,Pune,90867,2.51
XKISW,21,Pune,80529,4.03
XDFFS,43,Bangalore,49799,3.15
MPZKT,41,Delhi,115402,8.14
XQNWF,19,Bangalore,26619,8.61
GLIMU,27,Hyderabad,115065,4.18
IHHUB,52,Mumbai,31793,3.48
IHIFP,37,Delhi,48795,8.5
JAUIL,42,Hyderabad,32163,6.92
HGWYV,38,Hyderabad,59470,4.27
SMADN,58,Hyderabad,72070,7.64
FXUWW,35,Mumbai,110591,1.41
GMVQE,56,Mumbai,49611,1.57
LOZKM,41,Mumbai,106197,3.53
NQFLK,50,Mumbai,106615,2.61
YNLXS,25,Delhi,58365,4.18
YJSGT,31,Pune,107409,7.94
AUICS,42,Delhi,64446,2.06
KTMHI,56,Delhi,65743,8.01
IVTKU,48,Delhi,97408,8.69
FQAJM,28,Pune,41826,7.88
DVFCC,30,Hyderabad,102898,5.3
UGRGM,20,Pune,54123,2.01
NHYJT,28,Bangalore,67414,3.92
QOMOE,35,Delhi,29121,9.26
XJQLT,41,Bangalore,24637,3.34
YFSYS,44,Hyderabad,92677,3.95
UCGRP,43,Delhi,60643,1.18
MIIOH,44,Delhi,107735,9.94
VHAVO,60,Bangalore,48575,1.69
JCJPI,35,Hyderabad,26116,9.44
MZEJM,24,Bangalore,97814,9.06
AWDWR,44,Hyderabad,86049,7.27
XDLIE,57,Hyderabad,88380,4.29
QFCNP,51,Mumbai,44916,8.18
HSMBE,24,Bangalore,113449,8.78
GYKER,51,Pune,116270,2.94
OHGGZ,38,Hyderabad,28262,6.11
PXGEN,50,Mumbai,33857,1.85
BSMFD,26,Pune,41546,5.27
NCITQ,25,Delhi,55760,3.99
NYFIS,20,Pune,39713,1.01
XWEUO,24,Mumbai,89789,4.46
DTPNN,49,Bangalore,51287,6.04
ABXGD,29,Hyderabad,83036,2.92
LMGRK,25,Bangalore,91764,4.71
DKZCJ,21,Bangalore,20120,6.01
YHCGP,36,Delhi,54415,2.05
LQVWR,24,Mumbai,96351,5.21
SHPED,43,Mumbai,39806,2.37
JFUKE,23,Delhi,81347,5.68
BYUPH,51,Mumbai,63038,5.14
YVSVJ,40,Pune,100827,5.53
KNIGN,34,Pune,60852,5.35
DXLPH,56,Delhi,93836,4.68
DUNGL,29,Pune,113788,1.06
BMHKT,44,Hyderabad,88596,1.91
ICMOM,48,Pune,46545,4.42
LUEXK,32,Mumbai,35746,1.29
LGJIO,41,Hyderabad,34013,8.58
FLYZG,34,Delhi,46357,7.55
WYBJP,49,Hyderabad,105214,5.98
TIRWN,59,Hyderabad,40509,3.51
UAXLY,47,Bangalore,50148,5.11
YHRJM,55,Hyderabad,79675,4.69
ZAIWW,20,Delhi,56487,9.56
UARNI,55,Pune,89541,7.2
RPXHT,51,Pune,114596,1.58
QZLHM,23,Delhi,92240,5.01
VJJBB,44,Pune,71827,7.82
SFJPN,43,Bangalore,35421,4.3
FKAAH,27,Pune,29899,9.41
YUYUB,43,Bangalore,91851,4.5
IIWEE,23,Bangalore,58260,8.59
BSHAX,57,Pune,40587,9.87
AZQEX,29,Hyderabad,37163,3.23
SBBDN,48,Mumbai,65565,6.89
OYCCP,31,Mumbai,41797,9.7
EZWEC,27,Delhi,59877,8.24
LWUOK,28,Delhi,80731,6.44
CJJOG,40,Bangalore,36086,5.94
KSXZO,24,Pune,88788,9.82
CKPUU,45,Bangalore,44829,1.88
YPGWR,20,Hyderabad,26946,8.9
ICPDP,37,Delhi,29418,2.41
EREMH,57,Delhi,67617,2.93
RBFMU,32,Bangalore,112963,2.85
BXBCN,26,Delhi,74313,9.86
JWJKW,18,Pune,105883,2.08
JMMRL,21,Mumbai,86815,3.63
NMBOT,38,Delhi,69137,8.88
VOFIB,27,Delhi,111415,3.94
CNYSL,19,Pune,30397,7.62
XLJDV,27,Pune,96967,7.76
EKLKX,46,Bangalore,118910,8.8
ZJHFF,41,Bangalore,62315,8.14
REIRO,44,Hyderabad,41342,5.95
RTRTJ,47,Hyderabad,115205,8.21
DXNHO,22,Bangalore,49225,9.81
KZJVR,47,Delhi,34399,5.24
RHKMK,33,Delhi,25391,8.31
PBARU,22,Delhi,29610,6.57
IOHZO,27,Hyderabad,29654,5.17
GNQRT,32,Pune,33861,7.85
BTZGP,45,Delhi,36974,1.17
BMKUF,60,Bangalore,42769,3.57
OVMTN,23,Mumbai,53209,2.58
BSAPH,21,Mumbai,36642,6.24
ERUQQ,37,Pune,115961,7.8
RWGCL,41,Delhi,67332,6.7
OAIZL,53,Delhi,109618,4.92
JDPUE,38,Delhi,107872,5.5
XQHCW,40,Hyderabad,104619,3.27
CFZKE,51,Mumbai,75188,4.14
INWRD,24,Delhi,116353,5.26
STKMR,31,Pune,104549,1.95
ZVTAV,44,Hyderabad,23818,9.34
GYVJB,60,Pune,42603,9.48
UYFIN,59,Hyderabad,32244,5.59
GCVQF,54,Bangalore,42050,4.45
